Cromossomo; fit; E
1;22.197951;-62
2;16.444647;-56
3;14.879732;-54
4;14.879732;-54
5;14.879732;-54
6;14.879732;-54
7;14.879732;-54
8;14.879732;-54
9;13.463738;-52
10;13.463738;-52
11;13.463738;-52
12;13.463738;-52
13;12.182494;-50
14;11.023176;-48
15;11.023176;-48
16;11.023176;-48
17;9.974182;-46
18;9.025013;-44
19;9.025013;-44
20;7.389056;-40
21;7.389056;-40
22;7.389056;-40
23;6.685894;-38
24;6.685894;-38
25;6.049647;-36
26;6.049647;-36
27;5.473947;-34
28;5.473947;-34
29;4.953032;-32
30;3.669297;-26
